 65K	TEMP.ISPEC_210602134423_SPEC_L7
4.2M	TEMP.ISPEC_210602134807_SPEC_F8
 16M	TEMP.ISPEC_210602141303_SPEC_T6
 32M	TEMP.ISPEC_210602141315_SPEC_T8
 65K	TEMP.ISPEC_210602144420_SPEC_L7
138K	TEMP.ISPEC_210602144422_SPEC_L4
 38M	TEMP.ISPEC_210602151313_SPEC_T8
 65K	TEMP.ISPEC_210602154107_SPEC_F5
1.6M	TEMP.ISPEC_210602161247_SPEC_TT6
7.1M	TEMP.ISPEC_210602161309_SPEC_T3
2.4M	TEMP.ISPEC_210602161329_SPEC_T5
 65K	TEMP.ISPEC_210602161719_SPEC_T7
 48M	TEMP.ISPEC_210602162432_SPEC_T8B
402K	TEMP.ISPEC_210602164337_SPEC_LU
 65K	TEMP.ISPEC_210602164421_SPEC_L7
 65K	TEMP.ISPEC_210602164755_SPEC_L6
 65K	TEMP.ISPEC_210602170011_SPEC_L2
114K	TEMP.ISPEC_210602171243_SPEC_TT6
 65K	TEMP.ISPEC_210602174405_SPEC_L7
 90K	TEMP.ISPEC_210602174743_SPEC_L5
522K	TEMP.ISPEC_210602174815_SPEC_L6
482K	TEMP.ISPEC_210602181257_SPEC_TT6
 28M	TEMP.ISPEC_210602181314_SPEC_T8
258K	TEMP.ISPEC_210602184811_SPEC_L6
 65K	TEMP.ISPEC_210602190003_SPEC_L2
1.4M	TEMP.ISPEC_210602194127_SPEC_F5
 65K	TEMP.ISPEC_210602194347_SPEC_LT6
 65K	TEMP.ISPEC_210602194411_SPEC_L7
 38M	TEMP.ISPEC_210602200146_SPEC_T8B
 27M	TEMP.ISPEC_210602201307_SPEC_T8
1.4M	TEMP.ISPEC_210602201311_SPEC_T3
 65K	TEMP.ISPEC_210602204744_SPEC_F7
 65K	TEMP.ISPEC_210602204754_SPEC_L6
114K	TEMP.ISPEC_210602205954_SPEC_F8B
 65K	TEMP.ISPEC_210602210012_SPEC_L2
 65K	TEMP.ISPEC_210602210018_SPEC_L1
138K	TEMP.ISPEC_210602211245_SPEC_TT6
3.6M	TEMP.ISPEC_210602211305_SPEC_T6
706K	TEMP.ISPEC_210602211307_SPEC_T3
754K	TEMP.ISPEC_210602211314_SPEC_T5
 65K	TEMP.ISPEC_210602211314_SPEC_T7
 15M	TEMP.ISPEC_210602211317_SPEC_T8
 65K	TEMP.ISPEC_210602214114_SPEC_F5
 65K	TEMP.ISPEC_210602214357_SPEC_LT6
 65K	TEMP.ISPEC_210602215951_SPEC_F8B
3.7M	TEMP.ISPEC_210602221259_SPEC_T6
650K	TEMP.ISPEC_210602221315_SPEC_T3
 65K	TEMP.ISPEC_210602221324_SPEC_T7
 35M	TEMP.ISPEC_210602222712_SPEC_T8B
 65K	TEMP.ISPEC_210602224111_SPEC_F5
842K	TEMP.ISPEC_210602224346_SPEC_LU
 65K	TEMP.ISPEC_210602224401_SPEC_L4
 65K	TEMP.ISPEC_210602224404_SPEC_L3
114K	TEMP.ISPEC_210602224808_SPEC_L6
1.3M	TEMP.ISPEC_210602224828_SPEC_F8
